CreditScore,Income,EmploymentYears,LoanAmount
580,25000,1,5000
600,28000,2,7000
620,30000,3,9000
640,32000,3,12000
660,35000,4,15000
680,38000,5,17000
700,42000,6,20000
720,45000,7,22000
740,48000,8,25000
760,52000,9,28000
580,26000,1,6000
600,29000,2,7500
620,31000,3,9500
640,33000,4,12500
660,36000,4,15500
680,39000,5,17500
700,43000,6,21000
720,46000,7,23000
740,49000,8,26000
760,53000,9,29000
590,27000,2,6500
610,29500,2,8000
630,31500,3,10000
650,34000,4,13500
670,36500,5,16000
690,40000,5,18000
710,44000,6,21500
730,47000,7,24000
750,50000,8,27000
770,54000,9,30000
600,28000,2,7200
620,30500,3,9200
640,32500,4,12000
660,35500,4,15000
680,38500,5,17000
700,42500,6,20500
720,45500,7,22500
740,48500,8,25500
760,51500,9,28500
780,55000,10,32000